storetype,id,lat,lon,year
high_end_groc,023200,37.732996,-122.39125,2010
low_end_groc,012201,37.784388,-122.416609,2010
low_end_groc,031100,37.733514,-122.434166,2010
high_end_groc,031400,37.713175,-122.458857,2010
high_end_liq,012800,37.800577,-122.438097,2010
high_end_groc,015802,37.777234,-122.438211,2010
groc,012100,37.788436,-122.414865,2010
low_end_groc,020200,37.76481,-122.423666,2010
high_end_liq,016400,37.774057,-122.437661,2010
high_end_groc,020200,37.76641,-122.422033,2010
low_end_liq,020600,37.760917,-122.434539,2010
low_end_groc,040100,37.785383,-122.461559,2010
high_end_groc,016900,37.768205,-122.429016,2010
low_end_groc,016100,37.780822,-122.432213,2010
high_end_liq,010900,37.797518,-122.422108,2010
high_end_groc,022702,37.76,-122.39682,2010
high_end_groc,025200,37.73909,-122.416702,2010
high_end_liq,061500,37.785967,-122.397219,2010
high_end_groc,012302,37.786906,-122.411797,2010
high_end_groc,012800,37.80014,-122.441562,2010
low_end_groc,020800,37.761832,-122.419356,2010
low_end_liq,03603,37.545839,-120.984623,2010
high_end_liq,025702,37.727776,-122.403666,2010
high_end_groc,042601,37.78402,-122.481953,2010
low_end_groc,013000,37.798413,-122.425643,2010
high_end_groc,020300,37.76263400000001,-122.432945,2010
low_end_groc,013500,37.789863,-122.43067,2010
high_end_liq,012302,37.786408,-122.411416,2010
low_end_groc,010700,37.797752,-122.40865,2010
low_end_groc,020100,37.768334,-122.419224,2010
low_end_groc,047701,37.780092,-122.483204,2010
high_end_groc,020900,37.7491,-122.417171,2010
high_end_groc,020300,37.767241,-122.428916,2010
low_end_groc,016200,37.777573,-122.425019,2010
low_end_groc,047600,37.780561,-122.473028,2010
high_end_liq,016200,37.779676,-122.42351200000002,2010
high_end_liq,017802,37.778099,-122.403035,2010
low_end_groc,030202,37.763972,-122.468097,2010
low_end_groc,045200,37.780757,-122.468603,2010
high_end_liq,030102,37.76148,-122.449084,2010
high_end_groc,010100,37.80801,-122.417427,2010
high_end_liq,010600,37.798435,-122.407453,2010
low_end_groc,016300,37.776253,-122.427926,2010
high_end_groc,017802,37.775961,-122.408848,2010
low_end_groc,030800,37.738675,-122.468303,2010
low_end_groc,020200,37.764874,-122.422667,2010
high_end_groc,020500,37.762598,-122.43538999999998,2010
low_end_groc,042601,37.784174,-122.478601,2010
high_end_groc,017601,37.776346,-122.411768,2010
high_end_liq,011000,37.795464,-122.418303,2010
low_end_groc,022901,37.751147,-122.413954,2010
low_end_groc,020900,37.750416,-122.418268,2010
low_end_groc,020900,37.749044,-122.41814,2010
high_end_groc,025401,37.739359,-122.418742,2010
low_end_liq,023400,37.72195900000001,-122.39305,2010
low_end_groc,016700,37.773293,-122.436119,2010
high_end_groc,022702,37.762625,-122.395809,2010
groc,011000,37.795223,-122.418255,2010
low_end_liq,022901,37.752439,-122.415175,2010
low_end_groc,020900,37.748924,-122.418128,2010
high_end_groc,020600,37.757699,-122.434695,2010
high_end_groc,011902,37.790673,-122.412259,2010
low_end_groc,061500,37.789495,-122.40111,2010
low_end_groc,047701,37.780147,-122.482069,2010
high_end_groc,013200,37.792472,-122.434576,2010
liq,011700,37.793425,-122.4029,2010
low_end_groc,015100,37.78865,-122.423678,2010
high_end_groc,020200,37.770968,-122.42446,2010
low_end_groc,012401,37.781859,-122.415559,2010
low_end_groc,016300,37.774211,-122.430883,2010
low_end_groc,015900,37.783076,-122.432666,2010
groc,011300,37.794187,-122.40793700000002,2010
groc,020200,37.767887,-122.422186,2010
low_end_groc,025702,37.731859,-122.405354,2010
low_end_groc,016300,37.775529,-122.431155,2010
groc,012501,37.784306,-122.409714,2010
low_end_groc,017802,37.779538,-122.406928,2010
low_end_groc,032601,37.763532,-122.478204,2010
high_end_groc,030600,37.74505900000001,-122.452481,2010
high_end_liq,013500,37.788857,-122.434245,2010
low_end_groc,040100,37.782997,-122.46358,2010
high_end_groc,016000,37.782675,-122.422538,2010
low_end_groc,032601,37.763277,-122.483849,2010
low_end_groc,012201,37.785199,-122.417686,2010
high_end_liq,022903,37.751565,-122.406259,2010
low_end_liq,031302,37.714255,-122.469395,2010
low_end_groc,011100,37.792038,-122.415924,2010
high_end_liq,012302,37.785996,-122.411412,2010
low_end_groc,010700,37.798299,-122.408763,2010
