Price,end_date,start_date,Categories,lat,lon,Grocery or Liquor,id,storetype
,2017,2000,Grocery nan,37.79721,-122.408545,Grocery,010700,groc
1.0,2017,2005,Grocery 1.0,37.782846,-122.466843,Grocery,040200,low_end_groc
1.0,2017,2007,Grocery 1.0,37.782838,-122.467022,Grocery,040200,low_end_groc
2.0,2017,2000,Grocery 2.0,37.752872,-122.408008,Grocery,022903,high_end_groc
2.0,2017,1997,Liquor 2.0,37.78671,-122.450797,Liquor,015400,high_end_liq
1.0,2017,2000,Grocery 1.0,37.738366,-122.497285,Grocery,035300,low_end_groc
3.0,2017,2000,Grocery 3.0,37.777376,-122.441675,Grocery,015802,high_end_groc
1.0,2016,2011,Grocery 1.0,37.782874,-122.466228,Grocery,040200,low_end_groc
2.0,2017,2011,Liquor 2.0,37.800196,-122.410133,Liquor,010700,high_end_liq
2.0,2017,2011,Liquor 2.0,37.792709,-122.432951,Liquor,013200,high_end_liq
1.0,2017,2000,Liquor 1.0,37.783728,-122.414256,Liquor,012401,low_end_liq
1.0,2017,2001,Grocery 1.0,37.764387,-122.452537,Grocery,017102,low_end_groc
4.0,2017,2011,Liquor 4.0,37.742986,-122.477393,Liquor,032801,high_end_liq
1.0,2017,2011,Grocery 1.0,37.79699,-122.408502,Grocery,010700,low_end_groc
1.0,2017,2011,Grocery 1.0,37.762544,-122.500274,Grocery,035100,low_end_groc
2.0,2017,2011,Grocery 2.0,37.772949,-122.439104,Grocery,016400,high_end_groc
1.0,2017,2001,Grocery 1.0,37.725244,-122.43438700000002,Grocery,025500,low_end_groc
1.0,2017,2011,Grocery 1.0,37.760307,-122.46635,Grocery,030202,low_end_groc
1.0,2017,2011,Grocery 1.0,37.760307,-122.46635,Grocery,030202,low_end_groc
3.0,2017,2001,Liquor 3.0,37.799143,-122.435915,Liquor,012800,high_end_liq
3.0,2017,2002,Liquor 3.0,37.751421,-122.432096,Liquor,021400,high_end_liq
2.0,2017,2000,Liquor 2.0,37.78767,-122.413236,Liquor,012302,high_end_liq
2.0,2017,2001,Grocery 2.0,37.797405,-122.408583,Grocery,010700,high_end_groc
,2017,2011,Liquor nan,37.78311,-122.40291100000002,Liquor,017601,liq
,2017,2011,Liquor nan,37.736302,-122.390249,Liquor,061200,liq
2.0,2017,2011,Liquor 2.0,37.724418,-122.458732,Liquor,031201,high_end_liq
2.0,2017,2007,Grocery 2.0,37.806568,-122.42138,Grocery,010200,high_end_groc
2.0,2017,2011,Grocery 2.0,37.753553,-122.434294,Grocery,021100,high_end_groc
1.0,2017,2011,Grocery 1.0,37.78057,-122.438988,Grocery,015801,low_end_groc
1.0,2017,2011,Grocery 1.0,37.763836,-122.471152,Grocery,030201,low_end_groc
1.0,2017,2011,Grocery 1.0,37.763836,-122.471152,Grocery,030201,low_end_groc
,2017,2001,Grocery nan,37.734597,-122.390848,Grocery,061200,groc
1.0,2017,2001,Grocery 1.0,37.793762,-122.404666,Grocery,011800,low_end_groc
3.0,2017,2012,Liquor 3.0,37.783039,-122.417491,Liquor,012402,high_end_liq
2.0,2017,2012,Grocery 2.0,37.777434,-122.459732,Grocery,045100,high_end_groc
3.0,2017,2012,Liquor 3.0,37.807573,-122.415677,Liquor,010100,high_end_liq
2.0,2017,2001,Grocery 2.0,37.786533,-122.42986,Grocery,015200,high_end_groc
1.0,2017,2012,Grocery 1.0,37.787192,-122.416996,Grocery,012201,low_end_groc
2.0,2017,2012,Grocery 2.0,37.786898,-122.42696399999998,Grocery,015200,high_end_groc
1.0,2017,2002,Grocery 1.0,37.737286,-122.424046,Grocery,025401,low_end_groc
2.0,2017,2012,Grocery 2.0,37.762733,-122.393957,Grocery,022702,high_end_groc
1.0,2017,2012,Grocery 1.0,37.786498,-122.415008,Grocery,012201,low_end_groc
2.0,2017,2002,Grocery 2.0,37.772309,-122.509972,Grocery,047901,high_end_groc
2.0,2017,2002,Grocery 2.0,37.782557,-122.430887,Grocery,015900,high_end_groc
2.0,2017,2002,Grocery 2.0,37.765632,-122.410113,Grocery,017700,high_end_groc
2.0,2017,2002,Grocery 2.0,37.768701,-122.427535,Grocery,020300,high_end_groc
1.0,2017,2012,Grocery 1.0,37.727907,-122.403718,Grocery,025702,low_end_groc
1.0,2017,2012,Liquor 1.0,37.779841,-122.402867,Liquor,017802,low_end_liq
,2017,2012,Grocery nan,37.782802,-122.41406,Grocery,012401,groc
2.0,2017,2012,Liquor 2.0,37.762571,-122.396724,Liquor,022702,high_end_liq
1.0,2016,2002,Grocery 1.0,37.751493,-122.418372,Grocery,020900,low_end_groc
1.0,2017,2012,Grocery 1.0,37.74306,-122.405338,Grocery,025100,low_end_groc
2.0,2017,2012,Grocery 2.0,37.78990200000001,-122.410845,Grocery,011902,high_end_groc
2.0,2017,2012,Grocery 2.0,37.751602,-122.428545,Grocery,021400,high_end_groc
2.0,2017,2012,Liquor 2.0,37.786076,-122.418328,Liquor,012202,high_end_liq
1.0,2017,2002,Grocery 1.0,37.760119,-122.418101,Grocery,020800,low_end_groc
1.0,2017,2012,Grocery 1.0,37.805495,-122.422167,Grocery,010200,low_end_groc
3.0,2017,2012,Liquor 3.0,37.794211,-122.39443,Liquor,061500,high_end_liq
,2017,2012,Liquor nan,37.717596,-122.433667,Liquor,026004,liq
2.0,2017,2003,Grocery 2.0,37.796549,-122.409696,Grocery,010700,high_end_groc
1.0,2014,1998,Grocery 1.0,37.721824,-122.461721,Grocery,031201,low_end_groc
,2017,2009,Liquor nan,37.791412,-122.400806,Liquor,011700,liq
1.0,2017,2002,Grocery 1.0,37.777427,-122.438343,Grocery,015802,low_end_groc
2.0,2017,2012,Grocery 2.0,37.786292,-122.435018,Grocery,015300,high_end_groc
