year,id,mhi,mgr,groc,high_end_groc,liq,low_end_groc
2010,022704,185805.0383,2000.0,0.0,1.0,0.0,0.0
2010,022801,134991.8419,1534.592406,0.0,0.0,1.0,0.0
2010,022802,116980.274,1401.594397,0.0,0.0,0.0,0.0
2010,022803,92219.90972000001,1594.839367,0.0,0.0,0.0,0.0
2010,022901,85953.08902999999,1428.87604,0.0,0.0,1.0,2.0
2010,022902,79230.43755,1599.386308,0.0,0.0,0.0,1.0
2010,022903,100504.4352,1570.96793,0.0,1.0,2.0,0.0
2010,023001,66327.35726,1386.816841,0.0,1.0,0.0,0.0
2010,023003,101935.5848,1057.163657,0.0,0.0,0.0,0.0
2010,023102,59603.56905,803.6717267000001,0.0,0.0,0.0,0.0
2010,023103,32224.167060000003,469.47160269999995,0.0,0.0,1.0,0.0
2010,023200,66688.83902,1326.56988,2.0,1.0,1.0,0.0
2010,023300,104800.1572,1975.6456309999999,0.0,0.0,0.0,0.0
2010,023400,65528.23247,802.5349916,0.0,0.0,1.0,0.0
2010,025100,125676.2976,2000.0,0.0,1.0,0.0,0.0
2010,025200,147735.7793,1536.865876,0.0,3.0,2.0,0.0
2010,025300,126312.8693,1486.849531,0.0,1.0,0.0,0.0
2010,025401,111878.6068,1743.7516670000002,0.0,1.0,0.0,1.0
2010,025402,120315.4548,1437.969921,0.0,0.0,0.0,0.0
2010,025403,107910.2645,1124.2310289999998,0.0,0.0,0.0,0.0
2010,025500,120108.569,1465.2515640000001,0.0,1.0,0.0,6.0
2010,025600,89164.36572999998,2000.0,0.0,0.0,0.0,2.0
2010,025701,100678.3557,1824.4598600000002,0.0,0.0,1.0,0.0
2010,025702,76828.51625,1701.692468,0.0,1.0,1.0,2.0
2010,025800,81486.85676,1225.400455,0.0,0.0,0.0,0.0
2010,025900,107719.293,2000.0,0.0,0.0,0.0,0.0
2010,026001,98506.05491,1343.620907,0.0,0.0,0.0,0.0
2010,026002,84940.25804,1874.4762059999998,0.0,1.0,1.0,0.0
2010,026003,95563.04768999999,1791.4945420000001,0.0,0.0,0.0,0.0
2010,026004,99897.41868999999,1259.502508,0.0,2.0,1.0,0.0
2010,026100,99018.72245,1582.3352810000001,0.0,0.0,3.0,0.0
2010,026200,105909.6107,1512.994439,0.0,0.0,2.0,1.0
2010,026301,90648.94179,1575.51487,0.0,1.0,0.0,0.0
2010,026302,84157.04754,1611.890394,0.0,0.0,1.0,1.0
2010,026303,110162.1368,1407.278073,0.0,0.0,0.0,0.0
2010,026401,74017.37031,1189.0249310000004,0.0,0.0,0.0,0.0
2010,026402,90520.49072,1522.0883199999994,0.0,0.0,0.0,0.0
2010,026403,66333.04092999999,1350.441317,0.0,0.0,0.0,0.0
2010,026404,64964.41185,819.5860183,0.0,0.0,1.0,0.0
2010,030101,147613.0119,1899.484378,0.0,1.0,0.0,1.0
2010,030102,141949.7976,1896.074173,0.0,0.0,1.0,0.0
2010,030201,98709.53049,1581.198546,0.0,0.0,0.0,0.0
2010,030202,112373.0866,1664.1802089999999,0.0,1.0,2.0,2.0
2010,030301,143611.7043,1877.886411,0.0,0.0,0.0,0.0
2010,030302,135796.6504,2000.0,0.0,0.0,0.0,0.0
2010,030400,163811.4873,1630.078156,0.0,1.0,2.0,0.0
2010,030500,152971.5812,345.5674751,0.0,0.0,0.0,0.0
2010,030600,162307.5867,2000.0,0.0,1.0,0.0,1.0
2010,030700,172308.5823,2000.0,0.0,0.0,0.0,0.0
2010,030800,184373.8888,1916.535405,0.0,1.0,0.0,1.0
2010,030900,205197.7394,2000.0,0.0,0.0,1.0,0.0
2010,031000,125022.6749,2000.0,0.0,0.0,0.0,0.0
2010,031100,135977.3913,1932.4496960000001,0.0,1.0,0.0,1.0
2010,031201,92369.95875,862.7819527,0.0,0.0,1.0,3.0
2010,031202,93669.24699,1890.3904969999999,0.0,1.0,0.0,0.0
2010,031301,104810.3879,2000.0,0.0,0.0,0.0,0.0
2010,031302,97015.79517,1170.837169,0.0,0.0,1.0,0.0
2010,031400,81061.71783,1349.304582,0.0,1.0,0.0,0.0
2010,032601,91619.71358,1478.8923849999999,0.0,0.0,0.0,4.0
2010,032602,95377.75987000001,1495.9434119999999,0.0,0.0,0.0,0.0
2010,032700,120348.4202,1620.984275,0.0,0.0,0.0,0.0
2010,032801,126699.3592,2000.0,0.0,0.0,0.0,0.0
2010,032802,86092.90745,1806.2720989999998,0.0,0.0,0.0,0.0
2010,032901,111659.2169,2000.0,0.0,0.0,1.0,0.0
2010,032902,108686.6546,2000.0,0.0,1.0,1.0,0.0
2010,033000,127465.5187,2000.0,0.0,0.0,0.0,1.0
2010,033100,127221.1207,2000.0,0.0,1.0,0.0,0.0
2010,033201,55561.33897999999,1759.665959,0.0,1.0,0.0,0.0
2010,033203,81118.55458,2000.0,0.0,0.0,0.0,0.0
2010,033204,61350.73092,1926.7660210000001,0.0,0.0,0.0,0.0
2010,035100,122192.2045,1877.886411,0.0,0.0,0.0,0.0
2010,035201,88282.25928,1577.78834,0.0,0.0,1.0,1.0
2010,035202,92340.40364,1506.174028,0.0,1.0,0.0,1.0
2010,035300,94932.15971,1520.951585,0.0,0.0,1.0,1.0
2010,035400,106221.0761,1365.218874,0.0,0.0,1.0,2.0
2010,040100,107427.1521,1567.557724,0.0,1.0,0.0,3.0
2010,040200,111337.5209,1583.472016,0.0,1.0,1.0,3.0
2010,042601,111070.3881,1556.1903730000001,0.0,1.0,2.0,1.0
2010,042602,118285.2459,1760.8026940000002,0.0,0.0,0.0,0.0
2010,042700,113433.6604,1548.233227,0.0,1.0,1.0,0.0
2010,042800,297426.743,2000.0,0.0,0.0,0.0,0.0
2010,045100,125406.8914,1631.214891,0.0,0.0,0.0,0.0
2010,045200,120750.8244,1582.3352810000001,0.0,3.0,0.0,1.0
2010,047600,94561.58406000001,1736.931257,0.0,1.0,0.0,2.0
2010,047701,83694.39635,1335.663761,0.0,1.0,1.0,2.0
2010,047702,104806.9777,1607.343453,0.0,0.0,0.0,0.0
2010,047801,100748.8333,1855.151709,0.0,0.0,0.0,1.0
2010,047802,104065.8264,1569.831195,0.0,0.0,0.0,0.0
2010,047901,110384.9369,1622.12101,0.0,2.0,0.0,0.0
2010,047902,121078.2041,1627.804685,0.0,0.0,0.0,0.0
2010,060100,209558.2553,2000.0,0.0,0.0,0.0,0.0
2010,060400,83575.03917,1549.369963,0.0,0.0,0.0,0.0
2010,060502,35610.500960000005,525.1716234,0.0,0.0,1.0,0.0
2010,060700,149594.3412,2000.0,0.0,1.0,1.0,0.0
2010,061000,108991.2996,1856.288444,0.0,0.0,0.0,0.0
2010,061100,28780.996389999997,512.6675371,0.0,1.0,0.0,2.0
2010,061200,60832.37971,1151.512672,1.0,0.0,3.0,0.0
2010,061400,119015.0299,1669.863885,1.0,2.0,0.0,0.0
2010,061500,178319.6376,2000.0,0.0,4.0,6.0,2.0
2010,980200,160730.9351,1989.286452,0.0,0.0,0.0,0.0
2010,980300,0.0,1009.420783,0.0,0.0,0.0,0.0
2010,980401,0.0,0.0,0.0,0.0,0.0,0.0
2010,980501,38928.630769999996,601.3328761,0.0,0.0,0.0,0.0
2010,980600,74340.20309,0.0,0.0,0.0,0.0,0.0
2010,980900,173631.742,2000.0,0.0,1.0,1.0,0.0
2010,990100,0.0,0.0,0.0,0.0,0.0,0.0
2011,010100,80008.97263999999,1542.192142,0.0,3.0,0.0,0.0
2011,010200,147966.2455,1850.187412,0.0,1.0,0.0,0.0
2011,010300,135726.2032,2000.0,0.0,0.0,0.0,1.0
2011,010400,148605.5018,2000.0,0.0,2.0,0.0,0.0
2011,010500,169430.6352,2000.0,0.0,2.0,1.0,0.0
2011,010600,65970.81414,1151.104623,1.0,2.0,2.0,1.0
2011,010700,49725.725510000004,671.3853721,3.0,5.0,1.0,10.0
2011,010800,151898.1707,1603.126458,0.0,1.0,0.0,0.0
2011,010900,165742.4473,1645.226531,1.0,4.0,1.0,0.0
2011,011000,94840.38514,1291.8074980000001,1.0,0.0,3.0,0.0
2011,011100,86522.29706,1344.986538,0.0,4.0,1.0,2.0
2011,011200,196598.47699999998,1656.305497,0.0,1.0,0.0,0.0
2011,011300,49987.189119999995,589.4010198,4.0,2.0,0.0,2.0
2011,011700,55009.28465,964.9779853,0.0,0.0,6.0,0.0
2011,011800,54402.15727999999,730.1038948,0.0,0.0,0.0,1.0
2011,011901,86948.83727999999,1266.325875,0.0,1.0,0.0,1.0
2011,011902,102880.3912,1442.481443,0.0,2.0,1.0,0.0
