year,id,mhi,mgr
2011,030101,155507.698,1908.905934
2012,030101,132431.1591,1902.20086
2013,030101,120615.1534,1777.119895
2014,030101,112799.5145,1712.628402
2010,030102,141949.7976,1896.074173
2011,030102,150331.6048,1767.095163
2012,030102,153796.6619,1856.884673
2013,030102,139173.6038,1926.972048
2014,030102,143500.6105,1988.660182
2010,030201,98709.53049,1581.198546
2011,030201,106875.4665,1634.147564
2012,030201,106606.3278,1731.725683
2013,030201,107948.4253,1752.848067
2014,030201,107753.982,1739.308054
2010,030202,112373.0866,1664.180209
2011,030202,104069.1643,1692.866087
2012,030202,92504.36228,1740.357338
2013,030202,94324.54302,1777.119895
2014,030202,114264.8431,1784.458234
2010,030301,143611.7043,1877.886411
2011,030301,138793.9691,1762.663576
2012,030301,133455.0891,1781.357697
2013,030301,144092.3424,1841.493003
2014,030301,136000.55,1793.693498
2010,030302,135796.6504,2000.0
2011,030302,151375.2435,2000.0
2012,030302,153353.2106,2000.0
2013,030302,159961.8965,2000.0
2014,030302,156993.3312,1579.230145
2010,030400,163811.4873,1630.078156
2011,030400,154356.5934,1526.681589
2012,030400,179695.9412,1822.358055
2013,030400,192160.0587,1493.245042
2014,030400,211146.8671,1507.400314
2010,030500,152971.5812,345.5674751
2011,030500,151317.6329,2000.0
2012,030500,144897.4261,2000.0
2013,030500,146505.8063,1725.410349
2014,030500,138208.8042,1515.609437
2010,030600,162307.5867,2000.0
2011,030600,171682.9891,2000.0
2012,030600,203486.9389,2000.0
2013,030600,191320.0424,2000.0
2014,030600,197064.1156,2000.0
2010,030700,172308.5823,2000.0
2011,030700,164097.2208,2000.0
2012,030700,155062.2782,1902.20086
2013,030700,156020.3627,2000.0
2014,030700,146787.3384,2000.0
2010,030800,184373.8888,1916.535405
2011,030800,197526.8944,1999.75346
2012,030800,188720.336,1594.698168
2013,030800,188078.1704,1638.876008
2014,030800,201311.3109,1916.830351
2010,030900,205197.7394,2000.0
2011,030900,212234.2225,2000.0
2012,030900,187504.3517,2000.0
2013,030900,190186.6535,2000.0
2014,030900,180466.2939,2000.0
2010,031000,125022.6749,2000.0
2011,031000,127692.8446,1268.541668
2012,031000,124285.0352,1238.64242
2013,031000,125837.8175,2000.0
2014,031000,131417.8068,2000.0
2010,031100,135977.3913,1932.449696
2011,031100,133138.1567,2000.0
2012,031100,127918.9617,2000.0
2013,031100,123871.7995,2000.0
2014,031100,119722.8841,2000.0
2010,031201,92369.95875,862.7819527
2011,031201,90814.2887,1209.823146
2012,031201,90972.24361,1337.906447
2013,031201,92415.51102,1791.894051
2014,031201,98524.87481,1679.791908
2010,031202,93669.24699,1890.390497
2011,031202,93308.16407,1830.245272
2012,031202,95711.02192,1722.015072
2013,031202,88237.59079,1871.041314
2014,031202,82657.66511,1763.935425
2010,031301,104810.3879,2000.0
2011,031301,149310.1241,1989.78239
2012,031301,140252.517,1957.227657
2013,031301,115570.8345,1884.760174
2014,031301,117444.8523,1504.321892
2010,031302,97015.79517,1170.837169
2011,031302,86634.19463,1313.965431
2012,031302,82080.56052,1777.041869
2013,031302,83762.07685,1961.796844
2014,031302,78306.82963,1970.189654
2010,031400,81061.71783,1349.304582
2011,031400,84938.00485,1229.765286
2012,031400,80461.04634,1140.45735
2013,031400,73612.23175,1176.655987
2014,031400,72799.53386,1043.584832
2010,032601,91619.71358,1478.892385
2011,032601,95959.36076,1553.271108
2012,032601,97151.42927,1559.092593
2013,032601,99686.50631,1636.765414
2014,032601,107054.1542,1665.425942
2010,032602,95377.75987,1495.943412
2011,032602,85435.45045,1569.889558
2012,032602,88335.27316,1610.88252
2013,032602,83297.74624,1582.945275
2014,032602,94301.28074,2000.0
2010,032700,120348.4202,1620.984275
2011,032700,115823.9478,1627.500184
2012,032700,116899.5758,1685.33054
2013,032700,112184.3869,1650.484273
2014,032700,113462.4013,1676.713487
2010,032801,126699.3592,2000.0
2011,032801,99369.46666,1843.540032
2012,032801,92804.31227,1590.382341
2013,032801,91479.46271,1535.456916
2014,032801,100358.5878,1510.478735
2010,032802,86092.90745,1806.272099
2011,032802,86933.32672,1747.153023
2012,032802,88504.66938,1866.595285
2013,032802,93303.01567,2000.0
2014,032802,92653.29919,1869.627891
2010,032901,111659.2169,2000.0
2011,032901,103945.0798,1993.10608
2012,032901,96529.95014,2000.0
2013,032901,97802.80143,1995.566343
2014,032901,105653.4725,1795.745779
2010,032902,108686.6546,2000.0
2011,032902,123971.4198,2000.0
2012,032902,121283.3773,2000.0
2013,032902,121565.9759,1471.083808
2014,032902,118698.796,1935.300879
2010,033000,127465.5187,2000.0
2011,033000,127114.5226,2000.0
2012,033000,124777.0395,2000.0
2013,033000,121498.4369,2000.0
2014,033000,117878.9097,1889.124559
2010,033100,127221.1207,2000.0
